,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
,MONIN,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,MONIN AGAVE SYRUP 750 ML,3.3,,,,,
,MONIN ELDER FLOWER 750 ML,-,,,,,
,MONIN POPCORN 700 ML,3.2,,,,,
,MONIN ROSE 700 ML,2.1,,,,,
,MONIN  YUZU FRUIT MIX 1L,3,,,,,
,MONIN GINGERBREAD 700 ML,4.7,,,,,
,PEACH MONIN 1L,1,,,,,
,LYCHEE MONIN 1L,-,,,,,
, MONIN VANILLA 1L,0.7,,,,,
,WALSH AMARETO,2.5,,,,,
,GROCERY,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,COCONUT  CREAM JOLLY 400 ML,6,,,#REF!,,
,COFFEE SLUSH POWDER 1KG,1,,,1,,
,CRANBERRY JUICE 1.89 L,-,,,-,,
,DEL MONTE MELON CUCUMBER 1 L,4,,,#REF!,,
,FRESH MILK 1 L FOR BAR,8,,,8,,
,GARBANZOS CAN 450G,18,,,18,,
,GRAPES SLUSH POWDER 1KG,2,,,2,,
,GREEN APPLE SLUSH POWDER 1KG,2,,,2,,
,SUNDAY MELON JUICE POWDER 30 G,2,,,2,,
,MELONA MELON,54,,,54,,
,MELONA STRAWBERRY,22,,,22,,
,MUSCAVADO SUGAR 1G KG,-,,,-,,
,OISHI CARAMEL POPCORN ,6,,,#REF!,,
,DEL MONTE SWEETENED PINEAPPLE JUICE 1L,2,,,7,,
,SUNQUICK ORANGE CONCENTRATE 700 ML,-,,,,,
,WHITE SUGAR FOR BAR,4.97,,KG,4.97 KG,,
,TANG PINEAPPLE JUICE POWDER 250 G,6,,,16,,
,TEOPICAL CALAMANSI 850 ML,3,,,4,,
,EARL GREY TEA,15,,,40,,
,LIPTON TEA,37,,,237,,
,MANGO SLUSHY,1,,,1,,
, ICE TEA,1,,,5,,
,TANG FOR SEASON,5,,,5,,
,GUMMY SHARK,2.5,,KG,5 KG,,
